"Timestamp","What age bracket are you in?","What websites/applications do you think provide recommendations for you?","Are you aware that the items you see on these applications are personalised to satisfy your tastes?","How often do you get recommendations that you think are irrelevant?","How often do you find yourself getting frustrated when you can't find anything you like on these applications?","Would you be willing to tell these applications which items you have consumed in the past to receive better recommendations? "
"2020/05/13 12:19:33 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:20:27 PM GMT+1","18 - 29","E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:21:35 PM GMT+1","18 - 29","Movie/TV Streaming Apps;News Websites;Social Media Platforms","Yes","Sometimes","Never","No"
"2020/05/13 12:24:35 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Often","Sometimes","No"
"2020/05/13 12:26:04 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:28:54 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:29:20 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Often","Yes, providing I know that my data is safe"
"2020/05/13 12:30:04 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;News Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 12:30:34 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Often","Often","No"
"2020/05/13 12:32:45 PM GMT+1","18 - 29","E-Commerce Websites;Social Media Platforms","Yes","Often","Sometimes","No"
"2020/05/13 12:33:03 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;News Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 12:33:35 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:36:25 PM GMT+1","18 - 29","Social Media Platforms","Yes","Sometimes","Sometimes","No"
"2020/05/13 12:39:01 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Social Media Platforms","Yes","Often","Often","No"
"2020/05/13 12:39:22 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:40:37 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 12:40:45 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:40:57 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","No"
"2020/05/13 12:40:58 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:42:39 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 12:43:30 PM GMT+1","18 - 29","E-Commerce Websites","Yes","Sometimes","Never","No"
"2020/05/13 12:43:33 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Often","Never","Yes, providing I know that my data is safe"
"2020/05/13 12:44:23 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:46:56 PM GMT+1","18 - 29","News Websites;Social Media Platforms","Yes","Sometimes","Often","No"
"2020/05/13 12:48:58 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Often","Never","Yes, providing I know that my data is safe"
"2020/05/13 12:49:03 PM GMT+1","50 - 59","Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:50:58 PM GMT+1","18 - 29","News Websites;Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 12:52:46 PM GMT+1","18 - 29","Movie/TV Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
